case,operator,depth,tokens,vertices,faces,decode_seconds
Vine,compete,0,781,184294,363288,2.7215025424957275
Vine,compete,1,823,196150,399982,2.7210118770599365
Vine,compete,2,868,197707,402684,1.9645898342132568
Vine,compete,3,921,199470,405886,1.8912315368652344
Vine,compete_fork,0,781,184294,363288,1.645845651626587
Vine,compete_fork,1,1199,268020,534068,2.042386293411255
Vine,compete_fork,2,1885,348773,656184,3.3748836517333984
Vine,compete_fork,3,2198,360521,659002,2.209724187850952
Vine,fork_side,0,781,184294,363288,1.6471681594848633
Vine,fork_side,1,1421,288488,543516,2.0595295429229736
Vine,fork_side,2,2193,328536,569026,3.8268179893493652
Vine,fork_side,3,2193,328236,568296,2.215640068054199
Tree,compete,0,1425,311366,611832,2.754741907119751
Tree,compete,1,1462,318721,636126,2.1399364471435547
Tree,compete,2,1500,319904,638040,3.9699695110321045
Tree,compete,3,1546,321242,640084,2.1621084213256836
Tree,compete_fork,0,1425,311366,611832,2.0829315185546875
Tree,compete_fork,1,2179,455858,902870,2.5610239505767822
Tree,compete_fork,2,3099,557519,1056920,2.912367105484009
Tree,compete_fork,3,3211,528155,986260,2.802769422531128
Tree,fork_side,0,1425,311366,611832,2.0701582431793213
Tree,fork_side,1,2588,490419,924646,2.637650966644287
Tree,fork_side,2,3186,536932,982052,2.8140437602996826
Tree,fork_side,3,3223,516315,939016,2.6943702697753906
Tree,portal,0,1425,311366,611832,2.2620389461517334
Tree,portal,1,1595,235389,428416,1.8779757022857666
Tree,portal,2,1608,223622,411704,1.7944378852844238
Tree,portal,3,1609,222819,412252,1.78542160987854
Porous,compete,0,1726,784597,1681550,4.429455041885376
Porous,compete,1,1801,805506,1734090,4.003485918045044
Porous,compete,2,1876,814727,1749032,3.9993245601654053
Porous,scale_down,0,1726,784597,1681550,3.880352735519409
Porous,scale_down,1,2048,777462,1513720,4.715179204940796
Porous,scale_down,2,2114,782409,1512528,3.7163944244384766
Porous,portal,0,1726,784597,1681550,3.9945311546325684
Porous,portal,1,1965,802767,1625604,3.973076105117798
Porous,portal,2,1998,810557,1635166,3.942033529281616
